manufacturer,type,name,part_number,qty
Ampac,Fire Alarm Control Unit,Rack Cabinet 29U,29U – Rack Cabinet Only,1
Ampac,Fire Alarm Control Unit,"SP16X – comes with a locked glazed outer door
and accommodates up to 16 loops (2 networked
nodes), 10 Add-on modules and 10 Add-on
termination boards",SP16X – Cabinet Only,1
Ampac,Fire Alarm Control Unit,"SP1X – includes a locked glazed outer door and can
accommodate up to 4 loops, 2 Add-on modules
and 2 Add-on termination boards.",SP1X – Cabinet Only,1
Ampac,Fire Alarm Control Unit,"SP8X – has a locked glazed outer door and
accommodates up to 8 loops, 6 Add-on modules
and 4 Add-on termination boards",SP8X – Cabinet Only,1
Ampac,UNKNOWN,8 Zone Conventional Board,4310-0082,1
Ampac,UNKNOWN,Base Card for SP1X Panels,SP1X Base Card,1
Ampac,UNKNOWN,Base Card for SP8X and SP16X Panels,SP8X Base Card,1
Amseco,Horn,PAL328 Series Electronic Piezo Alert Buzzer,++,1
Ansul,Addressable Control/Relay,Relay IAM,+,1
Ansul,Addressable Control/Relay,Relay IAM with Unsupervised Input,+,1
Ansul,Addressable Control/Relay,Signal IAM; programming types are hardware type SIGNAL for 4008; device type SIGIAM for other compatible fire alarm control panels,+,1
Ansul,Addressable Module,"Supervised IAM, encapsulated with wire leads",+,1
Ansul,Cards & Components,AUTOPULSE Z-10 Main Board,++,1
Ansul,Cards & Components,CPU Assembly,+,2
Ansul,Cards & Components,"Eight Point Zone/Relay Module; each point is selectable as an IDC input or Relay output, Class A IDCs require  2 points (one out and one return); select up to 4 maximum; current shown is for 8 Class B IDCs with 4 in  alarm, detector current is added separately",+,1
Ansul,Fire Alarm Control Unit,"AUTOPULSE Z-10  Basic Releasing Panel Includes: Four IDCs, two NACs, two SPMs, two RACs, 3 A power supply with battery charger, cabinet and door",+,1
Ansul,Fire Alarm Control Unit,"AUTOPULSE Z-10 with 2 conventional 2 A NACs, 4 class B IDCs, 2 Class B SPMs, 2 Class B RACs and a 3 A output power supply/battery charger",++,1
Ansul,Fire Alarm Control Unit,"AUTOPULSE Z-20 with 4 conventional 3 A NACs and a 6 A output power supply/battery charger; includes IDNet+ communications for 100 addressable points and 1, 4007-9801 Zone/Relay module;",+,1
Ansul,Heat Detector,Electronic Heat Detectors For Two-Wire Bases 135 °F (57 °C),++,1
Ansul,Heat Detector,Electronic Heat Detectors For Two-Wire Bases 200 °F (57 °C),++,1
Ansul,Manual Station,"Manual Pull Station, DPST, conventional",++,1
Ansul,Manual Station,"Manual Pull Station, SPST, conventional",++,1
Ansul,Miscellaneous,Abort Supervision Module,++,1
Ansul,Releasing Control Unit,Suppression Release Peripheral mounted in NEMA 1 red box; required for ULC listing,+,1
Ansul,Smoke Detector,LIFEalarm Photoelectric Detector For Two-Wire Bases,++,2
Ansul,Smoke Detector,"TrueAlarm Analog Sensors, Photoelectric smoke sensor, White, Isolator Base",+,1
Ansul,Solenoid,"20-175 (1,4-12,1) 24 VDC",52-287-1-024,1
Ansul,Solenoid,"20-175 (1,4-12,1) 24 VDC Hazardous Location",52-287-1-224,1
Ansul,Solenoid,"20-300 (1,4-20,7) 24 VDC",52-287-1-124,1
Ansul,Supervisory Panel,Coil Supervision Module Encapsulated,+,1
Ansul,Surge Supressor,Isolated Loop Circuit Protector,++,1
Ansul,Switch,Flush Mount Abort Switch,++,1
Ansul,Switch,Main/Reserve Switch,++,1
Ansul,Switch,"Maintenance Disconnect, Flush mount",+,1
Ansul,Switch,"Maintenance Disconnect, Surface mount; includes red mounting box",+,1
Ansul,Switch,"Releasing Abort Station, Flush mount",+,1
Ansul,Switch,"Releasing Abort Station, Surface mount; includes red mounting box",+,1
Apollo,Addressable Control/Relay,AUDIBLE/VISUAL CONTROL MODULE,D900-CTRL A/V,1
Apollo,Addressable Control/Relay,AUDIBLE/VISUAL CONTROL MODULE DUAL IN PANEL,A901-CTRL-A/V-2,1
Apollo,Addressable Control/Relay,AUDIBLE/VISUAL CONTROL MODULE IN PANEL,A901-CTRL A/V,1
Apollo,Addressable Control/Relay,Notiﬁ cation Appliance Circuit Module,++,1
Apollo,Addressable Module,ADDRESSABLE CONTROL MODULE FAN SHUT OFF,D900-CTRL I/O,1
Apollo,Addressable Module,CONTROL MODULE ( 2 SUPERVISED INPUTS AND 2 FORM C OUTPUT),A901-CTRL I/O-2,1
Apollo,Addressable Module,CONTROL MODULE (SUPERVISED INPUT AND 4A FORM C OUTPUT),D900-CTRL I/O-4A,1
Apollo,Addressable Module,CONTROL MODULE (SUPERVISED INPUT AND FORM C OUTPUT),D900-CTRL I/O,1
Apollo,Addressable Module,CONTROL MODULE (SUPERVISED INPUT AND FORM C OUTPUT) IN PANEL,A901-CTRL I/O,1
Apollo,Addressable Module,DUAL MONITOR MODULE (SUPERVISED INPUTS),55000-790ADV,1
Apollo,Addressable Module,Intelligent Input/Output Unit,++,1
Apollo,Addressable Module,Mini Monitor Module,+,1
Apollo,Addressable Module,Mini Priority Switch Monitor,+,1
Apollo,Addressable Module,Mini Switch Monitor,+,1
Apollo,Addressable Module,Priority Switch Monitor,+,1
Apollo,Addressable Module,Switch Monitor,+,1
Apollo,Addressable Module,Switch Monitor Input/Output Module,+,1
Apollo,Beam Detector,Intelligent Auto-Aligning Beam Detector Controller,++,1
Apollo,Duct Smoke Detector,"ADDRESSABLE PHOTOELECTRIC DUCT SMOKE DETECTOR WITH 5"" AIR SAMPLING TUBE","D900-DD-SL-PHOTO w/ 5"" TUBE",1
Apollo,Duct Smoke Detector,"ADDRESSABLE PHOTOELECTRIC DUCT SMOKE DETECTOR WITH RELAY AND 5"" AIR SAMPLING TUBE",D900-DD-SL-PHOTO-R,1
Apollo,Gas Detection,CARBON MONOXIDE DETECTOR,CM-E1-CMD,1
Apollo,Gas Detection,INTELLIGENT CO LF SOUNDER BASE,+,1
Apollo,Gas Detection,INTELLIGENT CO SOUNDER BASE,+,1
Apollo,HVAC Unit,FAN (BY OTHERS),FAN,1
Apollo,Heat Detector,Discovery/Soteria UL Heat Detector  W/ Soteria UL Base - 4”,XXX,1
Apollo,Heat Detector,Discovery/Soteria UL Heat Detector  W/ Soteria UL Base - 6”,XXX,1
Apollo,Heat Detector,"HEAT  DETECTOR W/ 4"" BASE",+,1
Apollo,Heat Detector,HEAT  DETECTOR W/ E-Z FIT BASE,+,1
Apollo,Heat Detector,"HEAT DETECTOR W/ 4"" BASE",D900-TEMP w/D900-BASE4,1
Apollo,Heat Detector,"HEAT DETECTOR W/ 6"" BASE",+,1
Apollo,Heat Detector,"HEAT DETECTOR W/ 6"" BASE",D900-TEMP w/D900-BASE6,1
Apollo,Heat Detector,XP95 Heat Detector w/Sounder Base,++,1
Apollo,Heat Detector,XP95 Heat Detector w/XPERT Base,++,1
Apollo,Heat Detector,XP95A Heat Detector  W/ Soteria UL Base - 6”,XXX,1
Apollo,Heat Detector,XP95A Heat Detector W/ Soteria UL Base - 4”,XXX,1
Apollo,Horn,"Sounder - Red - Apollo, Slow whoop and DIN tones",++,1
Apollo,Horn,"Sounder - White - Apollo, Slow whoop and DIN tones",++,1
Apollo,Horn/Strobe,"Sounder Visual indicator - Red - Apollo, Slow-whoop and DIN tones and Apollo flash",++,1
Apollo,Horn/Strobe,"Sounder Visual indicator - White - Apollo, Slow-whoop and DIN tones and Apollo flash",++,1
Apollo,Manual Station,ADDRESSABLE DOUBLE ACTION PULL STATION,AX-APS2-F1,1
Apollo,Manual Station,ADDRESSABLE SINGLE ACTION PULL STATION,AX-APS2-F2,1
Apollo,Manual Station,Dual Action Addressable Manual Pull Station,+,1
Apollo,Manual Station,"Intelligent Manual Call Point, Blue",++,1
Apollo,Manual Station,"Intelligent Manual Call Point, Green",++,1
Apollo,Manual Station,"Intelligent Manual Call Point, Orange",++,1
Apollo,Manual Station,"Intelligent Manual Call Point, Red",++,1
Apollo,Manual Station,"Intelligent Manual Call Point, White",++,1
Apollo,Manual Station,"Intelligent Manual Call Point, Yellow",++,1
Apollo,Manual Station,"SPST, SINGLE ACTION PULL STATION (NOT ADDRESSABLE)",541S,1
Apollo,Multi Criteria Detector,Soteria  UL Multicriteria Detector W/ Soteria UL Base - 4”,XXX,1
Apollo,Multi Criteria Detector,Soteria  UL Multicriteria Detector W/ Soteria UL Base - 6”,XXX,1
Apollo,Multi Criteria Detector,XP95A Multi-Criteria Detector W/ Soteria UL Base - 4”,XXX,1
Apollo,Multi Criteria Detector,XP95A Multi-Criteria Detector W/ Soteria UL Base - 6”,XXX,1
Apollo,Remote Indicator,REMOTE LED,D900-RMT LED,1
Apollo,Remote Indicator,REMOTE TEST SWITCH,D900-DD RMT TEST,1
Apollo,Smoke Detector,120VAC SMOKE DETECTOR (BY OTHERS),120VAC SMOKE (BY OTHERS),1
Apollo,Smoke Detector,"Axis AX UL Multicriteria Detector W/  4"" Base",SA5150-750ADV w/SA5000-210ADV,1
Apollo,Smoke Detector,"Axis AX UL Smoke Detector W/ 6"" Base",SA5150-650ADV w/SA5000-230ADV,1
Apollo,Smoke Detector,BEAM DETECTOR EMITTER - 24VDC REQ,SX-OSE-SPW,1
Apollo,Smoke Detector,BEAM DETECTOR IMAGER - 90 DEGREES,SX-OSID-90,1
Apollo,Smoke Detector,"IONIZATION SMOKE DETECTOR W/ 4"" BASE",D900-ION w/D900-BASE4,1
Apollo,Smoke Detector,"IONIZATION SMOKE DETECTOR W/ 6"" BASE",D900-ION w/D900-BASE6,1
Apollo,Smoke Detector,Intelligent Auto-Aligning Beam Detector Head,++,1
Apollo,Smoke Detector,Intelligent Auto-Aligning Beam Detector Prism,++,1
Apollo,Smoke Detector,"Intelligent Photoelectric Detector w/6"" Base",+,1
Apollo,Smoke Detector,"PHOTOELECTRIC SMOKE DETECTOR W/ 4"" BASE",+,1
Apollo,Smoke Detector,"PHOTOELECTRIC SMOKE DETECTOR W/ 6"" BASE",+,1
Apollo,Smoke Detector,"PHOTOELECTRIC SMOKE DETECTOR W/ 6"" SOUNDER BASE",58000-650ADV w/SOUNDER BASE,1
Apollo,Smoke Detector,PHOTOELECTRIC SMOKE DETECTOR W/ E-Z FIT BASE,+,1
Apollo,Smoke Detector,PHOTOELECTRIC SMOKE DETECTOR W/ E-Z FIT BASE,58000-650ADV w/45681-250ADS BASE,1
Apollo,Smoke Detector,PHOTOELECTRIC SMOKE DETECTOR W/ INTELLIGENT CO LF SOUNDER BASE,+,1
Apollo,Smoke Detector,PHOTOELECTRIC SMOKE DETECTOR W/ INTELLIGENT CO SOUNDER BASE,+,1
Apollo,Smoke Detector,PHOTOELECTRIC SMOKE DETECTOR W/ INTELLIGENT CO/LF SOUNDER BASE,+,1
Apollo,Smoke Detector,PHOTOELECTRIC SMOKE DETECTOR W/ INTELLIGENT LF SOUNDER BASE,+,1
Apollo,Smoke Detector,PHOTOELECTRIC SMOKE DETECTOR W/ STANDARD BASE,58000-650ADV w/45681-210ADS BASE,1
Apollo,Smoke Detector,Soteria UL Smoke Detector W/ Soteria UL Base - 4”,XXX,1
Apollo,Smoke Detector,Soteria UL Smoke Detector W/ Soteria UL Base - 6”,XXX,1
Apollo,Smoke Detector,XP95 Optical Smoke Detector w/Sounder Base,++,1
Apollo,Smoke Detector,XP95 Optical Smoke Detector w/XPERT Base,++,1
Apollo,Smoke Detector,XP95A Multi-Criteria Detector  W/ SA5300-805 Soteria UL CO Sounder Base LF - 6”,XXX,1
Apollo,Smoke Detector,XP95A Multi-Criteria Detector W/ SA5300-800 Soteria UL CO Sounder Base HF - 6”,XXX,1
Apollo,Smoke Detector,XP95A Multi-Criteria Detector W/ SA5300-802 Soteria UL HF Sounder Base - 6”,XXX,1
Apollo,Smoke Detector,XP95A Multi-Criteria Detector W/ SA5300-806 Soteria UL Sounder Base LF - 6”,XXX,1
Apollo,Smoke Detector,XP95A Smoke Detector W/ SA5300-800 Soteria UL CO Sounder Base HF - 6”,XXX,1
Apollo,Smoke Detector,XP95A Smoke Detector W/ SA5300-802 Soteria UL HF Sounder Base - 6”,XXX,2
Apollo,Smoke Detector,XP95A Smoke Detector W/ SA5300-805 Soteria UL CO Sounder Base LF - 6”,XXX,1
Apollo,Smoke Detector,XP95A Smoke Detector W/ SA5300-806 Soteria UL Sounder Base LF - 6”,XXX,1
Apollo,Smoke Detector,XP95A Smoke Detector W/ Soteria UL Base - 4”,XXX,1
Apollo,Smoke Detector,XP95A Smoke Detector W/ Soteria UL Base - 6”,XXX,1
Apollo,Smoke/Heat Detector,"MULTISENSOR DETECTOR W/ 4"" BASE",D900-MSENSOR w/D900-BASE4,1
Apollo,Smoke/Heat Detector,"MULTISENSOR DETECTOR W/ 6"" BASE",D900-MSENSOR w/D900-BASE6,1
Apollo,Strobe,Visual indicator - Red - Apollo flash,++,1
Apollo,Strobe,Visual indicator - White - Apollo flash,++,1
Astrodyne,Cards & Components,75 W Single Output Switching Power Supply,RS75-2,1
Astrodyne,Repeater,BLOCK RPT CARD,BLOCK RPT CARD,1
Astrodyne,Transponder Panel,BLOCK XP PANEL,BLOCK XP PANEL,1
Atlas,Speaker,"Re-Entrant Speaker, 25V 2, 4, 8, 15w",VT(F)-152UC,1
Atlas,Speaker,"UL Listed 15 Watt Omni-Purpose® Voice Control Loudspeaker, Grey Baked Epoxy",AP-15TU,1
Atlas,Speaker,"UL Listed 15 Watt Omni-Purpose® Voice Control Loudspeaker, Grey Baked Epoxy",AP-15TUC,1
Atlas,Speaker,"UL Listed 15 Watt Omni-Purpose® Voice Control Loudspeaker, Red Baked Epoxy",AP-15TUC(R),1
AutoPulse,Cards & Components,Main Board,++,1
AutoPulse,Fire Alarm Control Unit,"AUTOPULSE 542R Agent Releasing Control Panel, 120 VAC",++,1
Autocall,Addressable Control/Relay,Addressable 8 Amp Relay IAM,A4090-9010,1
Autocall,Addressable Control/Relay,Addressable Signal Module (IAM),++,1
Autocall,Addressable Control/Relay,Basic Suppression Release Peripheral on mounting plate,++,1
Autocall,Addressable Control/Relay,Dual Contact Relay IAM,++,1
Autocall,Addressable Control/Relay,"Eight Point Zone/Relay Module; each point is selectable as an IDC input or Relay output, Class A IDCs require  2 points (one out and one return); select up to 4 maximum; current shown is for 8 Class B IDCs with 4 in  alarm, detector current is added separately",++,1
Autocall,Addressable Control/Relay,Relay IAM,+,1
Autocall,Addressable Control/Relay,Six Point Module with Four T-Sense Inputs and Two Relay Outputs,A4090-9120,1
Autocall,Addressable Control/Relay,"Suppression Release Peripheral mounted in NEMA 1 red box;
required for ULC listing",++,1
